date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup
2014-11-15,Scotland,New Zealand,16,24,2014 Autumn International,Murrayfield,Edinburgh,Scotland,False,False
2014-11-22,Wales,New Zealand,16,34,2014 Autumn International,Millennium Stadium,Cardiff,Wales,False,False
2014-11-22,France,Argentina,13,18,2014 Autumn International,Stade de France,Saint-Denis,France,False,False
2014-11-22,Italy,South Africa,6,22,2014 end-of-year test,Stadio Euganeo,Padua,Italy,False,False
2014-11-22,Ireland,Australia,26,23,2014 Autumn International,Lansdowne Road,Dublin,Ireland,False,False
2014-11-29,Wales,South Africa,12,6,2014 Autumn International,Millennium Stadium,Cardiff,Wales,False,False
2014-11-29,England,Australia,26,17,2014 Autumn International,Twickenham Stadium,London,England,False,False
2015-02-06,Wales,England,16,21,2015 Six Nations Championship,Millennium Stadium,Cardiff,Wales,False,False
2015-02-07,Italy,Ireland,3,26,2015 Six Nations Championship,Stadio Olimpico,Rome,Italy,False,False
2015-02-07,France,Scotland,15,8,2015 Six Nations Championship,Stade de France,Saint-Denis,France,False,False
2015-02-14,Ireland,France,18,11,2015 Six Nations Championship,Aviva Stadium,Dublin,Ireland,False,False
2015-02-14,England,Italy,47,17,2015 Six Nations Championship,Twickenham,London,England,False,False
2015-02-15,Scotland,Wales,23,26,2015 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
2015-02-28,Scotland,Italy,19,22,2015 Six Nations Championship,Murrayfield,Edinburgh,Scotland,False,False
2015-02-28,France,Wales,13,20,2015 Six Nations Championship,Stade de France,Paris,France,False,False
2015-03-01,Ireland,England,19,9,2015 Six Nations Championship,Aviva Stadium,Dublin,Ireland,False,False
2015-03-14,England,Scotland,25,13,2015 Six Nations Championship,Twickenham Stadium,London,England,False,False
2015-03-14,Wales,Ireland,23,16,2015 Six Nations Championship,Millennium Stadium,Cardiff,Wales,False,False
2015-03-15,Italy,France,0,29,2015 Six Nations Championship,Stadio Olimpico,Rome,Italy,False,False
2015-03-21,Scotland,Ireland,10,40,2015 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
2015-03-21,Italy,Wales,20,61,2015 Six Nations,Stadio Olimpico,Rome,Italy,False,False
2015-03-21,England,France,55,35,2015 Six Nations Championship,Twickenham,London,England,False,False
2015-07-17,New Zealand,Argentina,39,18,2015 Rugby Championship,AMI Stadium,Christchurch,New Zealand,False,False
2015-07-18,Australia,South Africa,24,20,2015 Rugby Championship,Lang Park,Brisbane,Australia,False,False
2015-07-25,South Africa,New Zealand,20,27,2015 Rugby Championship,Ellis Park,Johannesburg,South Africa,False,False
2015-07-25,Argentina,Australia,9,34,2015 Rugby Championship,Estadio Malvinas Argentinas,Mendoza,Argentina,False,False
2015-08-08,Australia,New Zealand,27,19,2015 Rugby Championship,Stadium Australia,Sydney,Australia,False,False
2015-08-08,Wales,Ireland,21,35,2015 Rugby World Cup warm-up tests,Millennium Stadium,Cardiff,Wales,False,False
2015-08-08,South Africa,Argentina,25,37,2015 Rugby Championship,Kings Park Stadium,Durban,South Africa,False,False
2015-08-15,England,France,19,14,2015 Rugby World Cup warm-up,Twickenham,London,England,False,False
2015-08-15,Ireland,Scotland,28,22,2015 Rugby World Cup warm-up tests,Aviva Stadium,Dublin,Ireland,False,False
2015-08-15,Argentina,South Africa,12,26,2015 Rugby World Cup warm-up match,José Amalfitani Stadium,Buenos Aires,Argentina,False,False
2015-08-15,New Zealand,Australia,41,13,2015 Rugby World Cup warm-up match,Eden Park,Auckland,New Zealand,False,False
2015-08-22,Italy,Scotland,12,16,2015 Rugby World Cup warm-ups,Stadio Olimpico di Torino,Turin,Italy,False,False
2015-08-22,France,England,25,20,2015 Rugby World Cup warm-up,Stade de France,Saint-Denis,France,False,False
2015-08-29,Ireland,Wales,10,16,2015 Rugby World Cup warm-up tests,Aviva Stadium,Dublin,Ireland,False,False
2015-08-29,Scotland,Italy,48,7,2015 Rugby World Cup warm-ups,Murrayfield,Edinburgh,Scotland,False,False
2015-09-05,Wales,Italy,23,19,2015 Rugby World Cup warm-up,Millennium Stadium,Cardiff,Wales,False,False
2015-09-05,England,Ireland,21,13,2015 Rugby World Cup Warm-up,Twickenham,London,England,False,False
2015-09-05,France,Scotland,19,16,2015 Rugby World Cup warm-up,Stade de France,Saint-Denis,France,False,False
2015-09-19,France,Italy,32,10,2015 Rugby World Cup Pool D,Twickenham Stadium,London,England,True,True
2015-09-20,New Zealand,Argentina,26,16,2015 Rugby World Cup Pool match,Wembley Stadium,London,England,True,True
2015-09-26,England,Wales,25,28,2015 Rugby World Cup Pool A,Twickenham,London,England,False,True
2015-10-03,South Africa,Scotland,34,16,2015 Rugby World Cup,St James Park,Newcastle,England,True,True
2015-10-03,England,Australia,13,33,2015 Rugby World Cup Pool match,Twickenham Stadium,London,England,False,True
2015-10-04,Ireland,Italy,16,9,2015 Rugby World Cup Pool D,Olympic Stadium,London,England,True,True
2015-10-10,Australia,Wales,15,6,2015 Rugby World Cup Pool match,Twickenham Stadium,London,England,True,True
2015-10-11,France,Ireland,9,24,2015 Rugby World Cup Pool D,Millennium Stadium,Cardiff,Wales,True,True
2015-10-17,South Africa,Wales,23,19,2015 Rugby World Cup Quarter-final,Twickenham Stadium,London,England,True,True
2015-10-17,New Zealand,France,62,13,2015 Rugby World Cup Quarter-final,Millennium Stadium,Cardiff,Wales,True,True
2015-10-18,Ireland,Argentina,20,43,2015 Rugby World Cup quarter-final,Millennium Stadium,Cardiff,Wales,True,True
2015-10-18,Australia,Scotland,35,34,2015 Rugby World Cup Quarter-final,Twickenham Stadium,London,England,True,True
2015-10-24,South Africa,New Zealand,18,20,2015 Rugby World Cup Semi-final,Twickenham Stadium,London,England,True,True
2015-10-25,Argentina,Australia,15,29,2015 Rugby World Cup Semi-finals,Twickenham,London,England,True,True
2015-10-30,South Africa,Argentina,24,13,2015 Rugby World Cup Bronze final,Olympic Stadium,London,England,True,True
2015-10-31,New Zealand,Australia,34,17,2015 Rugby World Cup Final,Twickenham Stadium,London,England,True,True
2016-02-06,France,Italy,23,21,2016 Six Nations Championship,Stade de France,Saint-Denis,France,False,False
2016-02-06,Scotland,England,9,15,2016 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
2016-02-07,Ireland,Wales,16,16,2016 Six Nations Championship,Aviva Stadium,Dublin,Ireland,False,False
2016-02-13,Wales,Scotland,27,23,2016 Six Nations Championship,Millennium Stadium,Cardiff,Wales,False,False
2016-02-13,France,Ireland,10,9,2016 Six Nations Championship,Stade de France,Saint-Denis,France,False,False
2016-02-14,Italy,England,9,40,2016 Six Nations Championship,Stadio Olimpico,Rome,Italy,False,False
2016-02-26,Wales,France,19,10,2016 Six Nations Championship,Millennium Stadium,Cardiff,Wales,False,False
2016-02-27,Italy,Scotland,20,36,2016 Six Nations Championship,Stadio Olimpico,Rome,Italy,False,False
2016-02-27,England,Ireland,21,10,2016 Six Nations Championship,Twickenham,London,England,False,False
2016-03-12,Ireland,Italy,58,15,2016 Six Nations Championship,Aviva Stadium,Dublin,Ireland,False,False
2016-03-12,England,Wales,25,21,2016 Six Nations Championship,Twickenham,London,England,False,False
2016-03-13,Scotland,France,29,18,2016 Six Nations Championship,Murrayfield,Edinburgh,Scotland,False,False
2016-03-19,Wales,Italy,67,14,2016 Six Nations,Millennium Stadium,Cardiff,Wales,False,False
2016-03-19,France,England,21,31,2016 Six Nations Championship,Stade de France,Saint-Denis,France,False,False
2016-03-19,Ireland,Scotland,35,25,2016 Six Nations Championship,Aviva Stadium,Dublin,Ireland,False,False
2016-05-29,England,Wales,27,13,2016 Summer International,Twickenham,London,England,False,False
2016-06-11,Australia,England,28,39,2016 England tour of Australia,Lang Park,Brisbane,Australia,False,False
2016-06-11,New Zealand,Wales,39,21,2016 Wales tour of New Zealand,Eden Park,Auckland,New Zealand,False,False
2016-06-11,South Africa,Ireland,20,26,2016 Ireland rugby union tour of South Africa,Newlands,Cape Town,South Africa,False,False
